2024-08-14 16:14:57.815 | DEBUG    | 28332:22688 | nxpy.db.executor:make_statement:410 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:16:20.814 | DEBUG    | 20488:18960 | nxpy.db.executor:make_statement:410 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:18:48.571 | DEBUG    | 26628:256 | nxpy.db.executor:make_statement:456 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:20:42.366 | DEBUG    | 14456:24528 | nxpy.db.executor:make_statement:446 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:32:34.308 | DEBUG    | 26268:25536 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:34:41.304 | DEBUG    | 4284:15136 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:36:58.512 | DEBUG    | 5208:14572 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:36:58.923 | DEBUG    | 5208:14572 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:37:01.986 | DEBUG    | 5208:14572 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:37:02.007 | DEBUG    | 5208:14572 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:24.312 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:24.898 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:24.944 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8794]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:27.957 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:27.971 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:28.019 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8795]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:31.028 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:31.043 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:31.095 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8796]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:34.111 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:34.127 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:34.182 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8797]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:37.189 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:37.212 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:37.262 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8798]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:40.267 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:40.293 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:40.347 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8799]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-14 16:50:43.351 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-14 16:50:43.375 | DEBUG    | 16084:9040 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-14 16:50:43.417 | INFO     | 16084:9040 | nxpy.service.service_player:info:69 - quant_clearer deal [8800]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
